,index,number_samples,number_features,number_influentials,epsilon,covariance_parameter,lmbd,number_of_test
0,66570,1000,20,8,,40.0,0.05,10
1,47421,1000,10,4,,9.0,0.05,10
2,33160,1000,20,8,,40.0,0.1,10
3,43646,1000,50,20,33.0,5.0,0.05,10
4,09834,1000,20,8,,12.0,0.9,10
5,17177,1000,10,6,,40.0,0.05,10
6,60274,1000,20,8,,40.0,0.15,10
7,03704,1000,20,8,,12.0,0.15,10
8,89819,1000,100,20,30.0,1.0,0.1,2
9,17012,1000,20,5,7.5,5.0,0.05,2
10,84519,1000,20,8,,12.0,0.05,10
11,_g1.t,1000,20,8,,12.0,0.1,10
12,19410,1000,50,20,,5.0,0.05,10
13,95012,1000,20,5,7.5,1.0,0.1,100
14,87749,1000,100,20,30.0,1.0,0.1,3
15,26490,1000,10,4,,5.0,0.05,10
16,98342,1000,20,5,30.0,1.0,0.1,100
17,96757,1000,20,8,,12.0,0.1,10
18,58164,1000,100,20,30.0,1.0,0.1,100
19,42717,1000,10,4,,12.0,0.1,10
20,46613,1000,50,20,,5.0,0.05,10
21,92118,1000,20,8,,12.0,0.05,10
22,82874,1000,30,10,16.5,5.0,0.05,2
23,36240,1000,20,5,7.5,1.0,0.1,100
24,04360,1000,20,8,,12.0,0.1,10
25,25966,1000,20,5,7.5,1.0,0.1,2
26,78257,1000,20,8,,40.0,0.02,10
27,36879,1000,20,8,,12.0,0.15,10
28,11578,1000,20,8,,40.0,0.01,10
29,34920,1000,20,8,,12.0,0.1,10
30,22950,1000,20,5,7.5,1.0,0.05,2
31,48187,1000,20,8,,12.0,0.7,10
32,87682,1000,20,8,,40.0,0.01,10
33,70236,1000,30,10,16.5,5.0,0.05,2
34,15849,1000,100,20,30.0,1.0,0.05,100
35,65994,1000,20,5,7.5,1.0,0.05,2
36,80111,1000,20,8,,12.0,0.15,10
37,57847,1000,20,8,,12.0,0.3,10
38,27542,1000,10,4,,5.0,0.05,10
39,25872,1000,100,20,30.0,1.0,0.1,100
40,89551,1000,20,8,,12.0,0.05,10
41,46877,1000,20,8,,12.0,0.8,10
42,43844,1000,20,8,,12.0,0.5,10
