,   ,              Original  ,        SA_AIC   ,        GA_AIC  ,        SA_QUBO  ,        GA_QUBO
,R2 ,            0.84(0.02)  ,    0.84(0.02)   ,    0.77(0.03)  ,      0.7(0.06)  ,     0.62(0.1)
,R2 ,           0.86(0.02)   ,   0.86(0.02)    ,  0.78(0.05)    ,  0.77(0.09)     ,  0.74(0.08)
,R2 ,            0.86(0.02)  ,    0.86(0.02)   ,    0.81(0.05)  ,    0.84(0.03)   ,   0.79(0.06)
,R2 ,            0.9(0.02)   ,   0.9(0.02)     ,  0.8(0.06)     ,  0.84(0.09)     ,   0.55(0.21)
,R2 ,            0.91(0.02)  ,    0.91(0.02)   ,   0.83(0.09)   ,    0.86(0.07)   ,    0.69(0.1)
,R2 ,            0.91(0.01)  ,    0.91(0.01)   ,    0.85(0.04)  ,     0.87(0.07)  ,     0.71(0.12)
,CN ,           27.49(7.13),      2.94(0.53),       6.25(2.65),       3.64(1.07) ,     3.41(0.87)
,CN ,          27.97(7.74) ,      3.63(1.0) ,      5.59(1.9)  ,    3.85(1.22)    ,   4.39(0.78)
,CN ,            26.81(5.0),      3.81(0.95),       7.54(2.53),      4.37(0.94)  ,    5.47(1.93)
,CN ,         37.67(14.47) ,    4.01(0.88)  ,     5.34(2.1)   ,    3.81(0.93)    ,    3.71(1.06)
,CN ,          36.53(13.42),      3.73(1.46),      6.54(2.16) ,      3.65(1.03)  ,    4.18(1.49)
,CN ,          52.25(13.29),      4.79(3.11),        7.16(3.3),       4.74(1.15) ,      4.96(2.28)
