,index,number_samples,number_features,number_influentials,epsilon,covariance_parameter,lmbd,number_of_test
0,33216,1000,40,8,0.0,1.0,0.001,5
1,32268,1000,40,8,,40.0,0.0005,5
2,36543,1000,40,8,,40.0,0.01,10
3,40980,1000,40,8,,40.0,0.002,10
4,72649,1000,40,8,0.0,2.0,0.05,5
5,44304,1000,40,8,,40.0,0.002,10
6,49190,1000,40,8,,1.0,0.0005,5
7,10863,1000,40,8,0.0,1.0,0.001,5
8,70365,1000,40,8,,40.0,0.002,10
9,39177,1000,40,8,,40.0,0.001,10
10,58417,1000,40,8,40.0,40.0,0.002,10
11,07477,1000,40,8,0.0,1.0,0.0005,5
12,89516,1000,40,8,,1.0,0.005,5
13,00454,1000,40,8,,40.0,0.001,10
14,41753,1000,40,8,2.0,40.0,0.002,10
15,06140,1000,40,8,,40.0,0.0005,10
16,69552,1000,40,8,,40.0,0.001,10
17,46764,1000,40,8,,40.0,0.001,10
18,80938,1000,40,8,,1.0,0.001,5
19,70387,1000,40,8,0.0,2.0,0.01,5
20,99323,1000,40,8,10.0,40.0,0.002,10
21,56793,1000,40,8,,1.0,0.001,5
22,25344,1000,40,8,,40.0,0.002,10
23,09256,1000,60,12,1000.0,100.0,0.002,10
24,27791,1000,40,8,,40.0,0.002,10
25,06983,1000,40,8,,1.0,0.002,5
26,16979,1000,40,8,,1.0,0.005,5
27,85136,1000,200,20,,40.0,0.002,10
28,97334,1000,40,8,1000.0,40.0,0.002,10
29,62424,1000,40,8,,40.0,0.001,10
30,63465,1000,60,20,,40.0,0.002,10
31,65558,1000,40,8,,40.0,0.02,10
32,55088,1000,40,8,0.0,2.0,0.025,5
33,18919,1000,40,8,,1.0,0.005,5
34,87592,1000,40,8,,40.0,0.0005,10
35,80028,1000,40,8,0.0,2.0,0.1,5
36,21037,1000,60,12,1000.0,40.0,0.002,10
37,04313,1000,40,8,10.0,40.0,0.005,10
38,01055,1000,40,8,,1.0,0.0005,5
